Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score,Volume-Weighted Sentiment,Normalized VWS (7 Days),Daily Return,Rolling Avg (7 Days),Volatility (7 Days),Momentum (7 Days),EWMA Volatility,Volatility Class
2024-08-19,ACMR,Technology,Semiconductor Equipment & Materials,1.148B,19.959999084472656,20.34000015258789,19.579999923706055,20.290000915527344,20.290000915527344,636900,0.0,0.0,0.0,0.0,0.0,0.0,0.01348653604345773,19.667142868041992,0.5677359479852011,0.8000011444091797,0.037805656074403504,Medium
2024-08-20,ACMR,Technology,Semiconductor Equipment & Materials,1.148B,20.31999969482422,20.344999313354492,19.61000061035156,19.88999938964844,19.88999938964844,661100,0.0,0.0,0.0,0.0,0.0,0.0,-0.01971421921291261,19.77999986921038,0.5119899331637325,0.7899990081787145,0.0363739701875474,Medium
2024-08-21,ACMR,Technology,Semiconductor Equipment & Materials,1.148B,20.100000381469727,20.200000762939453,19.631000518798828,19.940000534057617,19.940000534057617,725400,0.0,0.99943870306015,1.0,0.0,0.0,0.0,0.002513883657291549,19.930000032697404,0.328836627566065,1.050001144409176,0.03153243370414201,Medium
2024-08-22,ACMR,Technology,Semiconductor Equipment & Materials,1.148B,19.940000534057617,19.989999771118164,19.11000061035156,19.219999313354492,19.219999313354492,862300,0.0,0.0,0.0,0.0,0.0,0.0,-0.036108385226638284,19.907142911638537,0.375664764614066,-0.1599998474121093,0.033373587178715296,Medium
2024-08-23,ACMR,Technology,Semiconductor Equipment & Materials,1.148B,19.280000686645508,19.84000015258789,19.280000686645508,19.489999771118164,19.489999771118164,799600,0.0,0.912622094154358,2.0,0.0,0.0,0.0,0.014047891124328471,19.87999997820173,0.4008327906577491,-0.1900005340576172,0.03029079504176391,Medium
2024-08-26,ACMR,Technology,Semiconductor Equipment & Materials,1.148B,19.489999771118164,19.489999771118164,18.5,18.600000381469727,18.600000381469727,820400,0.0,0.0,0.0,0.0,0.0,0.0,-0.04566441252438136,19.635714394705637,0.5773174806013848,-1.7099990844726562,0.03368182740419414,Medium
2024-08-27,ACMR,Technology,Semiconductor Equipment & Materials,1.148B,18.5,18.600000381469727,18.100000381469727,18.420000076293945,18.420000076293945,755400,0.0,0.0,0.0,0.0,0.0,0.0,-0.009677435563663073,19.407142911638537,0.702892109558513,-1.6000003814697266,0.029185639544064147,Medium
2024-08-28,ACMR,Technology,Semiconductor Equipment & Materials,1.148B,18.219999313354492,18.520000457763672,17.43400001525879,17.860000610351562,17.860000610351562,1052600,0.0,0.999942421913147,1.0,0.0,0.0,0.0,-0.030401708122851034,19.060000010899135,0.788986438069165,-2.4300003051757812,0.026814147081956403,Medium
2024-08-29,ACMR,Technology,Semiconductor Equipment & Materials,1.148B,18.229999542236328,18.309999465942383,17.700000762939453,17.780000686645508,17.780000686645508,828900,0.0,0.9684328536192576,6.0,0.0,0.0,0.0,-0.004479278889816363,18.75857162475586,0.8214299923809073,-2.1099987030029332,0.02384337907587323,Low
2024-08-30,ACMR,Technology,Semiconductor Equipment & Materials,1.148B,18.200000762939453,18.299999237060547,17.809999465942383,18.040000915527344,18.040000915527344,774000,0.0,0.9993943214416504,10.0,0.0,0.0,0.0,0.014623184411748813,18.487143107822963,0.664998610536633,-1.8999996185302737,0.024395822489632336,Low
