Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score,Volume-Weighted Sentiment,Normalized Sentiment
2024-08-28,PAGS,Technology,Software Infrastructure,2.438B,10.84000015258789,11.109999656677246,10.704999923706056,10.899999618530272,10.899999618530272,6228600,0.0,0.8451460202534994,3.0,0.0,0.0,0.0
2024-08-29,PAGS,Technology,Software Infrastructure,2.438B,10.899999618530272,11.0,10.729999542236328,10.729999542236328,10.729999542236328,5794300,1.0,0.9916455944379172,3.0,0.3333333333333333,5794300.0,0.2475075393197953
2024-08-30,PAGS,Technology,Software Infrastructure,2.438B,11.050000190734863,11.31999969482422,10.9399995803833,11.06999969482422,11.06999969482422,36883200,1.0,0.9999945163726808,1.0,1.0,36883200.0,1.0
2024-09-03,PAGS,Technology,Software Infrastructure,2.438B,11.050000190734863,11.079999923706056,10.654999732971191,11.0600004196167,11.0600004196167,7256100,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-04,PAGS,Technology,Software Infrastructure,2.438B,11.0,11.039999961853027,10.515000343322754,10.600000381469728,10.600000381469728,6758800,2.0,0.9965262711048126,2.0,1.0,13517600.0,0.36649748394933196
2024-09-05,PAGS,Technology,Software Infrastructure,2.438B,9.479999542236328,10.125,9.3100004196167,9.699999809265137,9.699999809265137,12687700,-2.0,0.9113411188125612,10.0,-0.2,-25375400.0,-0.6879934495922263
2024-09-06,PAGS,Technology,Software Infrastructure,2.438B,9.68000030517578,9.710000038146973,9.25,9.399999618530272,9.399999618530272,7670100,-1.0,0.8788803517818451,4.0,-0.25,-7670100.0,-0.20795646798542425
2024-09-09,PAGS,Technology,Software Infrastructure,2.438B,9.359999656677246,9.43000030517578,9.15999984741211,9.170000076293944,9.170000076293944,4466900,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-10,PAGS,Technology,Software Infrastructure,2.438B,9.149999618530272,9.270000457763672,9.010000228881836,9.119999885559082,9.119999885559082,5606000,-1.0,0.7098194360733032,1.0,-1.0,-5606000.0,-0.15199331945167446
2024-09-11,PAGS,Technology,Software Infrastructure,2.438B,9.06999969482422,9.385000228881836,9.029999732971191,9.18000030517578,9.18000030517578,5118200,2.0,0.8721401393413544,2.0,1.0,10236400.0,0.7572646031839971
2024-09-12,PAGS,Technology,Software Infrastructure,2.438B,9.149999618530272,9.331000328063965,9.020000457763672,9.050000190734863,9.050000190734863,5914800,1.0,0.7336859703063965,2.0,0.5,5914800.0,0.4375628809847902
2024-09-13,PAGS,Technology,Software Infrastructure,2.438B,9.140000343322754,9.270000457763672,9.020000457763672,9.119999885559082,9.119999885559082,7514600,0.0,0.999453604221344,1.0,0.0,0.0,0.0
2024-09-16,PAGS,Technology,Software Infrastructure,2.438B,9.109999656677246,9.229999542236328,8.9399995803833,9.020000457763672,9.020000457763672,4317900,0.0,0.9799972772598268,1.0,0.0,0.0,0.0
2024-09-17,PAGS,Technology,Software Infrastructure,2.438B,9.119999885559082,9.40999984741211,9.079999923706056,9.229999542236328,9.229999542236328,5501900,-1.0,0.8347805440425873,2.0,-0.5,-5501900.0,-0.5374838810519323
2024-09-18,PAGS,Technology,Software Infrastructure,2.438B,9.300000190734863,9.595000267028809,9.199999809265137,9.300000190734863,9.300000190734863,5207300,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-19,PAGS,Technology,Software Infrastructure,2.438B,9.56999969482422,9.640000343322754,9.4350004196167,9.5600004196167,9.5600004196167,3795800,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-20,PAGS,Technology,Software Infrastructure,2.438B,9.489999771118164,9.5600004196167,9.05500030517578,9.0600004196167,9.0600004196167,6243800,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-23,PAGS,Technology,Software Infrastructure,2.438B,9.0,9.225000381469728,8.989999771118164,9.06999969482422,9.06999969482422,4526900,0.0,0.9999284744262696,1.0,0.0,0.0,0.0
2024-09-24,PAGS,Technology,Software Infrastructure,2.438B,9.220000267028809,9.380000114440918,9.130000114440918,9.15999984741211,9.15999984741211,4635900,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-25,PAGS,Technology,Software Infrastructure,2.438B,9.079999923706056,9.15999984741211,8.84000015258789,8.890000343322754,8.890000343322754,4372000,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-26,PAGS,Technology,Software Infrastructure,2.438B,9.100000381469728,9.18000030517578,8.694999694824219,8.8100004196167,8.8100004196167,9449700,0.0,0.9381034970283508,1.0,0.0,0.0,0.0
2024-09-27,PAGS,Technology,Software Infrastructure,2.438B,8.859999656677246,9.119999885559082,8.859999656677246,8.9399995803833,8.9399995803833,7440600,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-30,PAGS,Technology,Software Infrastructure,2.438B,8.869999885559082,8.904999732971191,8.539999961853027,8.609999656677246,8.609999656677246,5880500,-1.0,0.9933674931526184,1.0,-1.0,-5880500.0,-5880500.0
2024-10-01,PAGS,Technology,Software Infrastructure,2.438B,8.460000038146973,8.539999961853027,8.3100004196167,8.470000267028809,8.470000267028809,5274100,-1.0,0.9880980849266052,1.0,-1.0,-5274100.0,-5274100.0
2024-10-02,PAGS,Technology,Software Infrastructure,2.438B,8.630000114440918,8.710000038146973,8.319999694824219,8.319999694824219,8.319999694824219,3342200,0.0,0.9998983144760132,1.0,0.0,0.0,0.0
2024-10-03,PAGS,Technology,Software Infrastructure,2.438B,8.210000038146973,8.260000228881836,8.050000190734863,8.199999809265137,8.199999809265137,4873100,-2.0,0.792366909980774,5.0,-0.4,-9746200.0,-9746200.0
2024-10-04,PAGS,Technology,Software Infrastructure,2.438B,8.380000114440918,8.489999771118164,8.100000381469727,8.229999542236328,8.229999542236328,5888400,1.0,0.7972118258476257,3.0,0.3333333333333333,5888400.0,1.0
2024-10-07,PAGS,Technology,Software Infrastructure,2.438B,8.220000267028809,8.234999656677246,8.0,8.199999809265137,8.199999809265137,6901500,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-08,PAGS,Technology,Software Infrastructure,2.438B,8.1899995803833,8.550000190734863,8.100000381469727,8.359999656677246,8.359999656677246,3904500,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-09,PAGS,Technology,Software Infrastructure,2.438B,8.329999923706055,8.375,8.069999694824219,8.079999923706055,8.079999923706055,4427300,0.0,0.9999455213546752,1.0,0.0,0.0,0.0
2024-10-10,PAGS,Technology,Software Infrastructure,2.438B,8.010000228881836,8.270000457763672,7.994999885559082,8.149999618530273,8.149999618530273,17711600,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-11,PAGS,Technology,Software Infrastructure,2.438B,8.109999656677246,8.210000038146973,8.039999961853027,8.170000076293945,8.170000076293945,4016800,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-14,PAGS,Technology,Software Infrastructure,2.438B,8.149999618530273,8.470000267028809,8.140000343322754,8.369999885559082,8.369999885559082,3512100,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-15,PAGS,Technology,Software Infrastructure,2.438B,8.260000228881836,8.390000343322754,8.170000076293945,8.229999542236328,8.229999542236328,4373100,0.0,0.9965734481811525,1.0,0.0,0.0,0.0
2024-10-16,PAGS,Technology,Software Infrastructure,2.438B,8.300000190734863,8.444999694824219,8.180000305175781,8.329999923706055,8.329999923706055,3083000,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-17,PAGS,Technology,Software Infrastructure,2.438B,8.34000015258789,8.369999885559082,8.199999809265137,8.34000015258789,8.34000015258789,2186500,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-18,PAGS,Technology,Software Infrastructure,2.438B,8.399999618530273,8.505000114440918,8.380000114440918,8.420000076293945,8.420000076293945,2381100,0.0,0.9999735355377196,1.0,0.0,0.0,0.0
2024-10-21,PAGS,Technology,Software Infrastructure,2.438B,8.430000305175781,8.432000160217285,8.300000190734863,8.369999885559082,8.369999885559082,2604900,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-22,PAGS,Technology,Software Infrastructure,2.438B,8.279999732971191,8.40999984741211,8.180000305175781,8.289999961853027,8.289999961853027,3893300,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-23,PAGS,Technology,Software Infrastructure,2.438B,8.239999771118164,8.510000228881836,8.239999771118164,8.329999923706055,8.329999923706055,3320400,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-24,PAGS,Technology,Software Infrastructure,2.438B,8.350000381469727,8.380000114440918,8.194999694824219,8.289999961853027,8.289999961853027,2822800,2.0,0.9544727533328822,164.0,0.0121951219512195,5645600.0,1.0
2024-10-25,PAGS,Technology,Software Infrastructure,2.438B,8.34000015258789,8.402000427246094,8.239999771118164,8.270000457763672,8.270000457763672,3111200,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-28,PAGS,Technology,Software Infrastructure,2.438B,8.350000381469727,8.5,8.3100004196167,8.359999656677246,8.359999656677246,2968500,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29,PAGS,Technology,Software Infrastructure,2.438B,8.399999618530273,8.460000038146973,8.279999732971191,8.329999923706055,8.329999923706055,3144300,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-30,PAGS,Technology,Software Infrastructure,2.438B,8.300000190734863,8.319999694824219,8.1899995803833,8.229999542236328,8.229999542236328,3992800,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-31,PAGS,Technology,Software Infrastructure,2.438B,8.210000038146973,8.300000190734863,8.024999618530273,8.039999961853027,8.039999961853027,3082900,0.0,0.0,0.0,0.0,0.0,0.0
