Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score,Volume-Weighted Sentiment,Normalized VWS (7 Days),Daily Return,Rolling Avg (7 Days),Volatility (7 Days),Momentum (7 Days)
2024-08-19,PLTR,Technology,Software Infrastructure,149.825B,32.41999816894531,32.59000015258789,31.81399917602539,32.5,32.5,52353600,3.0,0.9556952686910344,266.0,0.0112781954887218,157060800.0,0.0636473876499247,0.013092211501644524,30.939999989100865,1.1117708587626374,3.219999313354492
2024-08-20,PLTR,Technology,Software Infrastructure,149.825B,32.5,32.720001220703125,31.6299991607666,32.31999969482422,32.31999969482422,40783000,21.0,0.9428853506659284,162.0,0.1296296296296296,856443000.0,0.5920048519287993,-0.005538470928485584,31.26999991280692,1.132357911662648,2.309999465942383
2024-08-21,PLTR,Technology,Software Infrastructure,149.825B,32.31999969482422,32.66999816894531,31.969999313354492,32.540000915527344,32.540000915527344,38147600,7.0,0.9489925781885784,105.0,0.0666666666666666,267033200.0,0.1845831538421978,0.00680696852662277,31.721428734915598,0.847318365473775,3.160001754760742
2024-08-22,PLTR,Technology,Software Infrastructure,149.825B,32.54999923706055,33.125,31.850000381469727,31.920000076293945,31.920000076293945,43522200,9.0,0.9555155220958922,126.0,0.0714285714285714,391699800.0,0.2707572857732976,-0.019053497903792294,31.94000026157924,0.6110104152299213,1.5300006866455043
2024-08-23,PLTR,Technology,Software Infrastructure,149.825B,31.989999771118164,32.54999923706055,31.621999740600582,31.780000686645508,31.780000686645508,34121200,0.0,0.9477018005139116,185.0,0.0,0.0,0.0,-0.004385945780507994,32.05142893110003,0.4645943209920479,0.7800006866455078
2024-08-26,PLTR,Technology,Software Infrastructure,149.825B,31.43000030517578,31.739999771118164,30.790000915527344,30.850000381469727,30.850000381469727,35283600,4.0,0.9561783303817112,120.0,0.0333333333333333,141134400.0,0.1208683132266388,-0.02926369682448071,31.998571940830775,0.5813326097924187,-0.3699989318847656
2024-08-27,PLTR,Technology,Software Infrastructure,149.825B,30.549999237060547,31.1200008392334,30.3799991607666,30.84000015258789,30.84000015258789,23541300,6.0,0.9463666339178344,74.0,0.081081081081081,141247800.0,0.1649237602502443,-0.0003241565237659394,31.821428843906947,0.7238422529833957,-1.2400016784667969
2024-08-28,PLTR,Technology,Software Infrastructure,149.825B,30.6200008392334,30.799999237060547,29.75,30.36000061035156,30.36000061035156,33961400,2.0,0.9518475075137808,187.0,0.0106951871657754,67922800.0,0.0793080216663572,-0.015564187414443098,31.515714645385742,0.8331437563963755,-2.139999389648441
2024-08-29,PLTR,Technology,Software Infrastructure,149.825B,30.649999618530273,31.81999969482422,30.483999252319336,31.0,31.0,39733000,13.0,0.9555801188843882,117.0,0.1111111111111111,516529000.0,1.0,0.02108034837885442,31.327143260410853,0.7675658600438604,-1.3199996948242188
2024-08-30,PLTR,Technology,Software Infrastructure,149.825B,31.049999237060547,31.5,30.700000762939453,31.479999542236328,31.479999542236328,42388000,3.0,0.9380115893313556,123.0,0.024390243902439,127164000.0,0.2461894685487165,0.015483856201171875,31.17571449279785,0.566681972350528,-1.0600013732910156
2024-09-03,PLTR,Technology,Software Infrastructure,149.825B,31.350000381469727,31.589000701904297,30.165000915527344,30.510000228881836,30.510000228881836,34531600,7.0,0.9602668298051712,94.0,0.0744680851063829,241721200.0,0.4679721758120067,-0.03081319337546551,30.97428594316755,0.5053004013885296,-1.4099998474121094
