Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score,Volume-Weighted Sentiment,Normalized VWS (7 Days),Daily Return,Rolling Avg (7 Days),Volatility (7 Days),Momentum (7 Days),EWMA Volatility,Volatility Class,Interest_Rate,Inflation,GDP,Unemployment,Industrial Production,Stock Market Performance,VIX OPEN,VIX HIGH,VIX LOW,VIX CLOSE,Event_Flag
2024-08-15,PD,Technology,Software Application,1.736B,19.299999237060547,19.540000915527344,19.18000030517578,19.43000030517578,19.43000030517578,1435000,0.0,0.0,0.0,0.0,0.0,0.0,0.0324123602679611,18.69285719735282,0.4212962575293436,1.0300006866455078,0.0248657118087087,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.27,16.68,14.77,15.23,0
2024-08-16,PD,Technology,Software Application,1.736B,19.329999923706055,19.5,18.96500015258789,19.209999084472656,19.209999084472656,1042600,0.0,0.0,0.0,0.0,0.0,0.0,-0.0113227595083732,18.757142748151505,0.4652852780982704,0.4499988555908203,0.0236379787506372,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,15.29,15.76,14.65,14.8,0
2024-08-19,PD,Technology,Software Application,1.736B,19.270000457763672,19.65999984741211,19.19499969482422,19.649999618530273,19.649999618530273,694100,0.0,0.0,0.0,0.0,0.0,0.0,0.0229047660087222,18.91571399143764,0.5587144889857908,1.1099987030029297,0.0222292905854801,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,15.94,16.07,14.46,14.65,0
2024-08-20,PD,Technology,Software Application,1.736B,19.61000061035156,19.73500061035156,19.25,19.329999923706055,19.329999923706055,571600,0.0,0.0,0.0,0.0,0.0,0.0,-0.0162849720629233,19.04857117789132,0.5252119534882191,0.9300003051757812,0.0225883525763227,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,14.89,15.93,14.78,15.88,0
2024-08-21,PD,Technology,Software Application,1.736B,19.440000534057617,19.690000534057617,19.309999465942383,19.68000030517578,19.68000030517578,619500,0.0,0.0,0.0,0.0,0.0,0.0,0.0181065899043533,19.277142660958425,0.3535400931460201,1.6000003814697266,0.0208501483305141,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.25,17.17,15.92,16.27,0
2024-08-22,PD,Technology,Software Application,1.736B,19.709999084472656,19.729999542236328,18.959999084472656,18.959999084472656,18.959999084472656,566500,0.0,0.0,0.0,0.0,0.0,0.0,-0.0365854273139297,19.297142573765345,0.3262779913418393,0.1399993896484375,0.027068222899475,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.27,18.06,15.76,17.55,0
2024-08-23,PD,Technology,Software Application,1.736B,19.18000030517578,20.209999084472656,18.989999771118164,20.170000076293945,20.170000076293945,1197200,0.0,0.0,0.0,0.0,0.0,0.0,0.0638186207937225,19.489999771118164,0.3900003351718933,1.3500003814697266,0.0395362790768936,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,17.12,17.21,15.61,15.86,0
2024-08-26,PD,Technology,Software Application,1.736B,20.229999542236328,20.43000030517578,20.0049991607666,20.13999938964844,20.13999938964844,712700,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014873914988609,19.591428211757115,0.4581642785413908,0.7099990844726598,0.034881762658856,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.27,16.67,15.81,16.15,0
2024-08-27,PD,Technology,Software Application,1.736B,19.950000762939453,20.06999969482422,19.65999984741211,19.799999237060547,19.799999237060547,381200,0.0,0.0,0.0,0.0,0.0,0.0,-0.0168818352975048,19.6757139478411,0.4296844061038136,0.5900001525878906,0.0325788705384182,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.21,16.81,15.37,15.43,0
2024-08-28,PD,Technology,Software Application,1.736B,19.63999938964844,19.75,19.084999084472656,19.459999084472656,19.459999084472656,708500,0.0,0.0,0.0,0.0,0.0,0.0,-0.0171717255398422,19.648571014404297,0.4375093592884616,-0.1900005340576172,0.0297027605727961,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,15.51,17.89,15.46,17.11,0
2024-08-29,PD,Technology,Software Application,1.736B,19.760000228881836,19.950000762939453,19.55500030517578,19.770000457763672,19.770000457763672,632300,0.0,0.0,0.0,0.0,0.0,0.0,0.0159301843718158,19.711428233555385,0.4151479649233598,0.4400005340576172,0.0270967930119865,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.54,16.57,15.19,15.65,0
2024-08-30,PD,Technology,Software Application,1.736B,19.940000534057617,20.020000457763672,19.420000076293945,19.780000686645508,19.780000686645508,759500,0.0,0.0,0.0,0.0,0.0,0.0,0.000505828459802,19.725714002336776,0.4156065609429346,0.1000003814697265,0.0234809871839418,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,15.67,16.04,14.78,15.0,0
2024-09-03,PD,Technology,Software Application,1.736B,19.600000381469727,19.850000381469727,18.25,18.290000915527344,18.290000915527344,2482600,0.0,0.0,0.0,0.0,0.0,0.0,-0.0753286005760424,19.62999997820173,0.6386440573950699,-0.6699981689453125,0.0414227298647368,High,5.13,314.686,23386.248,4.1,102.5497,5621.260449,15.76,21.99,15.71,20.72,0
2024-09-04,PD,Technology,Software Application,1.736B,17.170000076293945,18.420000076293945,16.459999084472656,18.079999923706055,18.079999923706055,3575900,1.0,0.9426624377568564,6.0,0.1666666666666666,3575900.0,1.0,-0.0114817376331024,19.33142852783203,0.8097410160500044,-2.09000015258789,0.0359818980271652,High,5.13,314.686,23386.248,4.1,102.5497,5621.260449,23.2,23.31,19.34,21.32,0
2024-09-05,PD,Technology,Software Application,1.736B,18.290000915527344,18.61000061035156,17.940000534057617,18.61000061035156,18.61000061035156,2473500,0.0,0.0,0.0,0.0,0.0,0.0,0.0293141973939159,19.112857273646764,0.7600812158240056,-1.529998779296882,0.0376763423183356,High,5.13,314.686,23386.248,4.1,102.5497,5621.260449,20.75,21.53,19.21,19.9,0
2024-09-06,PD,Technology,Software Application,1.736B,18.739999771118164,19.040000915527344,17.770000457763672,17.780000686645508,17.780000686645508,1287200,0.0,0.0,0.0,0.0,0.0,0.0,-0.0445996720303369,18.8242860521589,0.8354409895800041,-2.019998550415039,0.0376009613150289,High,5.13,314.686,23386.248,4.1,102.5497,5621.260449,21.98,23.76,18.83,22.38,0
2024-09-09,PD,Technology,Software Application,1.736B,17.850000381469727,18.045000076293945,17.59000015258789,17.770000457763672,17.770000457763672,1059600,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005624425475611,18.58285767691476,0.8647873837835389,-1.6899986267089844,0.033221793804988,High,5.13,314.686,23386.248,4.1,102.5497,5621.260449,21.32,21.41,19.29,19.45,0
2024-09-10,PD,Technology,Software Application,1.736B,17.780000686645508,17.78499984741211,17.34000015258789,17.690000534057617,17.690000534057617,782300,0.0,0.0,0.0,0.0,0.0,0.0,-0.0045019652023196,18.285714830671036,0.7367690855824112,-2.0799999237060547,0.0289367401798201,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,19.86,20.74,18.9,19.08,0
2024-09-11,PD,Technology,Software Application,1.736B,17.559999465942383,17.7450008392334,17.299999237060547,17.65999984741211,17.65999984741211,684200,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016959121390499,17.98285756792341,0.3590597634879449,-2.1200008392333984,0.025321850877702,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,19.41,21.41,17.55,17.69,0
2024-09-12,PD,Technology,Software Application,1.736B,17.75,17.815000534057617,17.31999969482422,17.399999618530273,17.399999618530273,607100,0.0,0.0,0.0,0.0,0.0,0.0,-0.0147225498940157,17.855714525495255,0.3885383642714322,-0.8900012969970703,0.0221865369172457,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,17.62,18.59,16.89,17.07,0
2024-09-13,PD,Technology,Software Application,1.736B,17.530000686645508,18.040000915527344,17.440000534057617,17.809999465942383,17.809999465942383,864600,0.0,0.0,0.0,0.0,0.0,0.0,0.0235632101379748,17.817143031529017,0.3757534583686831,-0.2700004577636719,0.0246117000999582,Medium,5.13,314.686,23386.248,4.1,102.5497,5621.260449,17.03,17.18,16.23,16.56,0
