Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score,Volume-Weighted Sentiment,Normalized VWS (7 Days),Daily Return,Rolling Avg (7 Days),Volatility (7 Days),Momentum (7 Days),EWMA Volatility,Volatility Class,Interest_Rate,Inflation,GDP,Unemployment,Industrial Production,Stock Market Performance
2024-08-01,GCT,,Software Infrastructure,854.67M,29.43000030517578,29.749000549316406,27.25,27.440000534057617,27.440000534057617,1045800,-4.0,0.91939320734569,7.0,-0.5714285714285714,-4183200.0,1.0,0.0,27.440000534057617,27.440000534057617,27.440000534057617,0.054375718045301,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577
2024-08-02,GCT,,Software Infrastructure,854.67M,26.299999237060547,26.719999313354492,25.40399932861328,25.559999465942383,25.559999465942383,1269700,2.0,0.9608164770262582,7.0,0.2857142857142857,2539400.0,1.0,-0.0685131571255561,26.5,1.3293615039022346,25.559999465942383,0.0484461180039801,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577
2024-08-05,GCT,,Software Infrastructure,854.67M,22.18000030517578,24.8799991607666,21.299999237060547,24.729999542236328,24.729999542236328,1808500,0.0,0.923719627658526,30.0,0.0,0.0,0.0,-0.0324726111521244,25.90999984741211,1.3884889427682916,24.729999542236328,0.0346686612982092,Low,5.33,314.121,23386.248,4.2,103.0449,5478.214577
2024-08-06,GCT,,Software Infrastructure,854.67M,25.399999618530273,25.760000228881836,24.209999084472656,25.540000915527344,25.540000915527344,1253400,6.0,0.9000085158781572,11.0,0.5454545454545454,7520400.0,1.0,0.0327537965339472,25.81750011444092,1.1486916464071224,25.540000915527344,0.0389556205897375,Low,5.33,314.121,23386.248,4.2,103.0449,5478.214577
2024-08-07,GCT,,Software Infrastructure,854.67M,24.25,24.68000030517578,20.700000762939453,23.11000061035156,23.11000061035156,2949300,0.0,0.9329221330840012,29.0,0.0,0.0,0.0,-0.0951448793292109,25.27600021362305,1.5670769243476703,23.11000061035156,0.0539025499238836,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577
2024-08-08,GCT,,Software Infrastructure,854.67M,24.0,24.209999084472656,22.809999465942383,24.13999938964844,24.13999938964844,1743200,2.0,0.991561335325241,10.0,0.2,3486400.0,0.4635923621083985,0.0445693964558149,25.086666742960613,1.476369549989724,24.13999938964844,0.0578581228723784,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577
2024-08-09,GCT,,Software Infrastructure,854.67M,23.510000228881836,23.540000915527344,21.950000762939453,22.43000030517578,22.43000030517578,1953400,2.0,0.9660501745012072,18.0,0.1111111111111111,3906800.0,0.5194936439551088,-0.0708367492836776,24.707142966134207,1.6806716773411656,22.43000030517578,0.0570734141375345,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577
2024-08-12,GCT,,Software Infrastructure,854.67M,22.579999923706055,23.270000457763672,22.0,22.5,22.5,1053600,0.0,0.9582520808492389,7.0,0.0,0.0,0.0,0.0031208066817576,24.001428604125977,1.345652504876804,-4.940000534057617,0.0509536710214864,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577
2024-08-13,GCT,,Software Infrastructure,854.67M,22.799999237060547,23.399999618530273,22.65999984741211,23.170000076293945,23.170000076293945,826800,2.0,0.9916212439537048,5.0,0.4,1653600.0,0.2198819211744056,0.0297777811686197,23.660000119890487,1.1769169030384503,-2.3899993896484375,0.0494990508193243,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577
2024-08-14,GCT,,Software Infrastructure,854.67M,23.309999465942383,23.600000381469727,22.15999984741211,22.38999938964844,22.38999938964844,778200,-1.0,0.9714430719614028,4.0,-0.25,-778200.0,-0.1034785383756183,-0.0336642504996601,23.325714383806503,1.154453319216223,-2.340000152587887,0.0446240142653618,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577
