Source,Date,Cumulative Score,Confidence,Text Count,Normalized Score
Yahoo,2024-08-01,-37,0.9436865514617855,649,-0.05701078582434515
Yahoo,2024-08-02,23,0.9468342426823517,317,0.07255520504731862
Yahoo,2024-08-03,1,0.9611668055472167,46,0.021739130434782608
Yahoo,2024-08-04,1,0.9212107612536504,26,0.038461538461538464
Yahoo,2024-08-05,0,0.942926378875244,410,0.0
Yahoo,2024-08-06,-15,0.9527354037648514,316,-0.04746835443037975
Yahoo,2024-08-07,16,0.9591055892573462,225,0.07111111111111111
Yahoo,2024-08-08,6,0.9545677229762077,128,0.046875
Yahoo,2024-08-09,3,0.9447639959048381,113,0.02654867256637168
Yahoo,2024-08-10,3,0.9601452913549211,18,0.16666666666666666
Yahoo,2024-08-11,2,0.9864218547230675,21,0.09523809523809523
Yahoo,2024-08-12,11,0.9508115947246552,124,0.08870967741935484
Yahoo,2024-08-13,9,0.9496843756084711,142,0.06338028169014084
Yahoo,2024-08-14,-1,0.9343387714028358,100,-0.01
Yahoo,2024-08-15,3,0.9693507541270152,137,0.021897810218978103
Yahoo,2024-08-16,9,0.9390860074444821,95,0.09473684210526316
Yahoo,2024-08-17,1,0.9799698380862966,17,0.058823529411764705
Yahoo,2024-08-18,-1,0.8020140528678894,5,-0.2
Yahoo,2024-08-19,11,0.9584490361053553,268,0.041044776119402986
Yahoo,2024-08-20,16,0.9596418880091773,225,0.07111111111111111
Yahoo,2024-08-21,2,0.9491605758666992,116,0.017241379310344827
Yahoo,2024-08-22,-4,0.9542818703469197,157,-0.025477707006369428
Yahoo,2024-08-23,5,0.9582096176302951,184,0.02717391304347826
Yahoo,2024-08-24,5,0.887612383616598,19,0.2631578947368421
Yahoo,2024-08-25,5,0.9533372351101467,21,0.23809523809523808
Yahoo,2024-08-26,-2,0.9687005082766215,141,-0.014184397163120567
Yahoo,2024-08-27,4,0.9336396060427841,98,0.04081632653061224
Yahoo,2024-08-28,-2,0.9421546084021554,197,-0.01015228426395939
Yahoo,2024-08-29,24,0.9414091309469738,178,0.1348314606741573
Yahoo,2024-08-30,-2,0.9442690924594277,76,-0.02631578947368421
Yahoo,2024-08-31,1,0.9795942157506943,8,0.125
Yahoo,2024-09-01,3,0.9421780194555011,14,0.21428571428571427
Yahoo,2024-09-02,2,0.9539916217327118,14,0.14285714285714285
Yahoo,2024-09-03,-21,0.93720864136535,166,-0.12650602409638553
Yahoo,2024-09-04,10,0.9470169217586517,125,0.08
Yahoo,2024-09-05,-5,0.9403489176617112,86,-0.05813953488372093
Yahoo,2024-09-06,-18,0.9477744670522293,149,-0.12080536912751678
Yahoo,2024-09-07,3,0.9008151017702543,13,0.23076923076923078
Yahoo,2024-09-08,-1,0.8937024027109146,8,-0.125
Yahoo,2024-09-09,5,0.9522318554961163,46,0.10869565217391304
Yahoo,2024-09-10,11,0.9548094048219569,85,0.12941176470588237
Yahoo,2024-09-11,18,0.9534564018249512,102,0.17647058823529413
Yahoo,2024-09-12,10,0.9589576148986816,75,0.13333333333333333
Yahoo,2024-09-13,4,0.9663407849887061,63,0.06349206349206349
Yahoo,2024-09-14,-3,0.999397662969736,13,-0.23076923076923078
Yahoo,2024-09-15,1,0.875335805118084,8,0.125
Yahoo,2024-09-16,3,0.952180844003504,55,0.05454545454545454
Yahoo,2024-09-17,-4,0.9563497776786486,72,-0.05555555555555555
Yahoo,2024-09-18,3,0.9630192012003024,73,0.0410958904109589
Yahoo,2024-09-19,20,0.9571377000638417,140,0.14285714285714285
Yahoo,2024-09-20,2,0.9671664270369903,92,0.021739130434782608
Yahoo,2024-09-21,3,0.9640839833479661,13,0.23076923076923078
Yahoo,2024-09-22,3,0.9981110258535906,11,0.2727272727272727
Yahoo,2024-09-23,-5,0.9440818493780883,46,-0.10869565217391304
