Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume
2024-08-28,CSCO,,Communication Equipment,229.037B,50.45000076293945,50.56999969482422,49.40999984741211,49.47191619873047,49.47191619873047,14571400
2024-08-29,CSCO,,Communication Equipment,229.037B,49.970001220703125,50.81999969482422,49.880001068115234,50.00782012939453,50.00782012939453,16324100
2024-08-30,CSCO,,Communication Equipment,229.037B,50.54999923706055,50.689998626708984,50.06999969482422,50.15668487548828,50.15668487548828,15615800
2024-09-03,CSCO,,Communication Equipment,229.037B,50.310001373291016,50.5,49.900001525878906,49.680328369140625,49.680328369140625,14918600
2024-09-04,CSCO,,Communication Equipment,229.037B,49.81999969482422,50.040000915527344,49.58000183105469,49.323055267333984,49.323055267333984,16411700
2024-09-05,CSCO,,Communication Equipment,229.037B,49.5,49.650001525878906,48.939998626708984,48.757381439208984,48.757381439208984,16312000
2024-09-06,CSCO,,Communication Equipment,229.037B,48.869998931884766,49.22999954223633,48.20000076293945,48.13215637207031,48.13215637207031,21040500
2024-09-09,CSCO,,Communication Equipment,229.037B,48.470001220703125,49.150001525878906,48.2599983215332,48.33064270019531,48.33064270019531,18677600
2024-09-10,CSCO,,Communication Equipment,229.037B,48.790000915527344,48.970001220703125,48.439998626708984,48.419960021972656,48.419960021972656,11754700
2024-09-11,CSCO,,Communication Equipment,229.037B,48.75,49.209999084472656,47.849998474121094,48.73752975463867,48.73752975463867,15106600
2024-09-12,CSCO,,Communication Equipment,229.037B,49.09000015258789,49.63999938964844,48.86000061035156,49.23373794555664,49.23373794555664,13236900
2024-09-13,CSCO,,Communication Equipment,229.037B,49.7400016784668,50.060001373291016,49.66999816894531,49.42229461669922,49.42229461669922,10168900
2024-09-16,CSCO,,Communication Equipment,229.037B,49.880001068115234,51.06999969482422,49.779998779296875,50.642967224121094,50.642967224121094,16668200
2024-09-17,CSCO,,Communication Equipment,229.037B,51.02000045776367,51.41999816894531,50.56999969482422,50.22615432739258,50.22615432739258,13230300
2024-09-18,CSCO,,Communication Equipment,229.037B,50.38999938964844,51.13999938964844,50.27000045776367,50.186458587646484,50.186458587646484,12697700
2024-09-19,CSCO,,Communication Equipment,229.037B,51.40999984741211,51.720001220703125,51.150001525878906,51.04985809326172,51.04985809326172,16274000
2024-09-20,CSCO,,Communication Equipment,229.037B,51.45000076293945,52.33000183105469,51.41999816894531,51.57583999633789,51.57583999633789,44096600
2024-09-23,CSCO,,Communication Equipment,229.037B,52.060001373291016,52.439998626708984,51.88999938964844,51.79417037963867,51.79417037963867,18343400
2024-09-24,CSCO,,Communication Equipment,229.037B,52.209999084472656,52.56999969482422,52.0099983215332,52.12166976928711,52.12166976928711,26479300
2024-09-25,CSCO,,Communication Equipment,229.037B,52.56999969482422,52.72999954223633,52.369998931884766,52.25068283081055,52.25068283081055,22422200
2024-09-26,CSCO,,Communication Equipment,229.037B,53.0,53.290000915527344,52.7599983215332,52.449161529541016,52.449161529541016,18374000
2024-09-27,CSCO,,Communication Equipment,229.037B,53.040000915527344,53.220001220703125,52.86000061035156,52.61787414550781,52.61787414550781,13868300
2024-09-30,CSCO,,Communication Equipment,229.037B,53.02000045776367,53.310001373291016,52.650001525878906,52.81636047363281,52.81636047363281,17807500
2024-10-01,CSCO,,Communication Equipment,229.037B,53.11000061035156,53.20000076293945,52.310001373291016,52.34000015258789,52.34000015258789,16621800
2024-10-02,CSCO,,Communication Equipment,229.037B,52.400001525878906,52.84000015258789,52.130001068115234,52.619998931884766,52.619998931884766,11071300
2024-10-03,CSCO,,Communication Equipment,229.037B,52.189998626708984,52.65999984741211,52.15999984741211,52.43000030517578,52.43000030517578,11029100
2024-10-04,CSCO,,Communication Equipment,229.037B,52.79999923706055,52.90999984741211,52.40999984741211,52.75,52.75,11724100
2024-10-07,CSCO,,Communication Equipment,229.037B,52.58000183105469,52.849998474121094,52.369998931884766,52.5099983215332,52.5099983215332,10941700
2024-10-08,CSCO,,Communication Equipment,229.037B,52.63999938964844,52.77000045776367,52.20000076293945,52.72999954223633,52.72999954223633,12365000
2024-10-09,CSCO,,Communication Equipment,229.037B,52.650001525878906,53.68000030517578,52.540000915527344,53.560001373291016,53.560001373291016,10586100
2024-10-10,CSCO,,Communication Equipment,229.037B,53.70000076293945,53.810001373291016,53.41999816894531,53.540000915527344,53.540000915527344,9377500
2024-10-11,CSCO,,Communication Equipment,229.037B,53.52000045776367,54.33000183105469,53.52000045776367,54.25,54.25,12704500
2024-10-14,CSCO,,Communication Equipment,229.037B,54.310001373291016,54.40999984741211,53.790000915527344,54.27000045776367,54.27000045776367,11428600
2024-10-15,CSCO,,Communication Equipment,229.037B,54.41999816894531,54.61000061035156,53.91999816894531,54.08000183105469,54.08000183105469,20066300
2024-10-16,CSCO,,Communication Equipment,229.037B,55.0,56.40999984741211,54.83000183105469,56.380001068115234,56.380001068115234,32382300
2024-10-17,CSCO,,Communication Equipment,229.037B,56.380001068115234,56.58000183105469,55.849998474121094,56.400001525878906,56.400001525878906,18383400
2024-10-18,CSCO,,Communication Equipment,229.037B,56.40999984741211,56.869998931884766,56.209999084472656,56.7599983215332,56.7599983215332,17679800
2024-10-21,CSCO,,Communication Equipment,229.037B,56.689998626708984,57.060001373291016,56.5099983215332,56.59000015258789,56.59000015258789,14083600
2024-10-22,CSCO,,Communication Equipment,229.037B,56.0,56.900001525878906,55.86000061035156,56.599998474121094,56.599998474121094,14956300
2024-10-23,CSCO,,Communication Equipment,229.037B,56.15999984741211,56.59000015258789,55.9900016784668,56.279998779296875,56.279998779296875,18723000
2024-10-24,CSCO,,Communication Equipment,229.037B,56.380001068115234,56.54999923706055,55.810001373291016,55.959999084472656,55.959999084472656,14699600
2024-10-25,CSCO,,Communication Equipment,229.037B,56.25,56.630001068115234,55.66999816894531,55.7400016784668,55.7400016784668,14680500
2024-10-28,CSCO,,Communication Equipment,229.037B,55.900001525878906,55.97999954223633,55.209999084472656,55.279998779296875,55.279998779296875,12912300
2024-10-29,CSCO,,Communication Equipment,229.037B,55.369998931884766,56.11000061035156,55.27000045776367,55.68000030517578,55.68000030517578,18810100
2024-10-30,CSCO,,Communication Equipment,229.037B,55.56999969482422,56.040000915527344,55.369998931884766,55.59000015258789,55.59000015258789,13284300
2024-10-31,CSCO,,Communication Equipment,229.037B,55.43000030517578,55.5099983215332,54.709999084472656,54.77000045776367,54.77000045776367,22023400
