Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score,Volume-Weighted Sentiment,Normalized VWS (7 Days),Daily Return,Rolling Avg (7 Days),Volatility (7 Days),Momentum (7 Days),EWMA Volatility,Volatility Class
2024-08-15,AAOI,Technology,Communication Equipment,1.208B,8.300000190734863,8.59000015258789,8.199999809265137,8.529999732971191,8.529999732971191,1404500,-2.0,0.9687483161687852,12.0,-0.1666666666666666,-2809000.0,-0.5993172605077876,0.04791147090900982,7.959999970027378,0.5746883029044446,1.239999771118164,0.07789699615773825,Medium
2024-08-16,AAOI,Technology,Communication Equipment,1.208B,8.460000038146973,8.649999618530273,8.220000267028809,8.279999732971191,8.279999732971191,1214100,3.0,0.9474915862083436,3.0,1.0,3642300.0,0.7771068914017495,-0.029308324481379433,8.16142851965768,0.3193444621071891,1.4099998474121094,0.0714734188053116,Medium
2024-08-19,AAOI,Technology,Communication Equipment,1.208B,8.350000381469727,8.75,8.220000267028809,8.600000381469727,8.600000381469727,1563200,2.0,0.8962993621826172,3.0,0.6666666666666666,3126400.0,0.6670364838916151,0.0386474225626221,8.16571433203561,0.3258761544803297,0.0300006866455078,0.06343720239665994,Medium
2024-08-20,AAOI,Technology,Communication Equipment,1.208B,8.59000015258789,8.859999656677246,8.539999961853027,8.779999732971191,8.779999732971191,1539100,1.0,0.9130460945042695,11.0,0.0909090909090909,1539100.0,0.4225626664470252,0.02093015622293537,8.31428575515747,0.3363458042946272,1.0399999618530271,0.05497048858740826,Medium
2024-08-21,AAOI,Technology,Communication Equipment,1.208B,8.850000381469727,8.944999694824219,8.430000305175781,8.920000076293945,8.920000076293945,1502900,2.0,0.9826610088348388,2.0,1.0,3005800.0,0.8252477829942618,0.015945369883898275,8.467142922537667,0.3333022384401548,1.070000171661377,0.047604769101661774,Medium
2024-08-22,AAOI,Technology,Communication Equipment,1.208B,8.930000305175781,9.520000457763672,8.800000190734863,9.029999732971191,9.029999732971191,3012600,0.0,0.9534784555435178,5.0,0.0,0.0,0.0,0.012331799970448865,8.611428533281599,0.3260074988575924,1.0099992752075195,0.04128261529023213,Low
2024-08-23,AAOI,Technology,Communication Equipment,1.208B,9.1899995803833,9.720000267028809,8.869999885559082,9.710000038146973,9.710000038146973,2349100,1.0,0.9999881982803344,1.0,1.0,2349100.0,0.644949619745765,0.07530457644344102,8.835714203970772,0.4601035597824965,1.5699996948242188,0.04529093868663788,Medium
2024-08-26,AAOI,Technology,Communication Equipment,1.208B,9.779999732971191,9.8100004196167,9.43000030517578,9.619999885559082,9.619999885559082,1400600,-1.0,0.9248568813006084,3.0,-0.3333333333333333,-1400600.0,-0.3845372429508827,-0.00926881073473873,8.99142851148333,0.5199496430688,1.0900001525878906,0.04345309228868383,Medium
2024-08-27,AAOI,Technology,Communication Equipment,1.208B,9.539999961853027,9.6850004196167,9.140000343322754,9.18000030517578,9.18000030517578,1109000,-1.0,0.9560921986897788,3.0,-0.3333333333333333,-1109000.0,-0.3547210849539406,-0.04573800266295236,9.12000002179827,0.4154916303995983,0.9000005722045881,0.048808862671216806,Medium
2024-08-28,AAOI,Technology,Communication Equipment,1.208B,9.199999809265137,9.270000457763672,8.550000190734863,9.119999885559082,9.119999885559082,1686700,2.0,0.9983572661876678,12.0,0.1666666666666666,3373400.0,1.0,-0.006535993205018631,9.194285665239606,0.3480353540232299,0.5199995040893555,0.042561487099272606,Low
