Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume
2024-09-24,PAYO,,Software Infrastructure,3.698B,7.650000095367432,7.699999809265137,7.550000190734863,7.659999847412109,7.659999847412109,1027900
2024-09-25,PAYO,,Software Infrastructure,3.698B,7.659999847412109,7.690000057220459,7.565000057220459,7.650000095367432,7.650000095367432,1195600
2024-09-26,PAYO,,Software Infrastructure,3.698B,7.71999979019165,7.730000019073486,7.630000114440918,7.659999847412109,7.659999847412109,1862200
2024-09-27,PAYO,,Software Infrastructure,3.698B,7.679999828338623,7.704999923706055,7.565000057220459,7.610000133514404,7.610000133514404,3344800
2024-09-30,PAYO,,Software Infrastructure,3.698B,7.599999904632568,7.695000171661377,7.489999771118164,7.53000020980835,7.53000020980835,2009400
2024-10-01,PAYO,,Software Infrastructure,3.698B,7.590000152587891,7.71999979019165,7.545000076293945,7.639999866485596,7.639999866485596,2290900
2024-10-02,PAYO,,Software Infrastructure,3.698B,7.679999828338623,7.699999809265137,7.489999771118164,7.590000152587891,7.590000152587891,1284800
2024-10-03,PAYO,,Software Infrastructure,3.698B,7.570000171661377,7.71999979019165,7.570000171661377,7.670000076293945,7.670000076293945,2340000
2024-10-04,PAYO,,Software Infrastructure,3.698B,7.769999980926514,7.835000038146973,7.65500020980835,7.710000038146973,7.710000038146973,1750900
2024-10-07,PAYO,,Software Infrastructure,3.698B,7.75,7.860000133514404,7.614999771118164,7.679999828338623,7.679999828338623,1566000
2024-10-08,PAYO,,Software Infrastructure,3.698B,7.71999979019165,7.795000076293945,7.610000133514404,7.71999979019165,7.71999979019165,2046400
2024-10-09,PAYO,,Software Infrastructure,3.698B,7.699999809265137,8.010000228881836,7.659999847412109,7.739999771118164,7.739999771118164,4251800
2024-10-10,PAYO,,Software Infrastructure,3.698B,7.699999809265137,7.889999866485596,7.619999885559082,7.849999904632568,7.849999904632568,5443800
2024-10-11,PAYO,,Software Infrastructure,3.698B,7.829999923706055,7.920000076293945,7.824999809265137,7.889999866485596,7.889999866485596,1590800
2024-10-14,PAYO,,Software Infrastructure,3.698B,7.920000076293945,7.949999809265137,7.840000152587891,7.880000114440918,7.880000114440918,2417200
2024-10-15,PAYO,,Software Infrastructure,3.698B,7.880000114440918,8.029999732971191,7.829999923706055,8.029999732971191,8.029999732971191,1707500
2024-10-16,PAYO,,Software Infrastructure,3.698B,8.0600004196167,8.114999771118164,8.020000457763672,8.100000381469727,8.100000381469727,1528500
2024-10-17,PAYO,,Software Infrastructure,3.698B,8.119999885559082,8.25,8.069999694824219,8.220000267028809,8.220000267028809,1419100
2024-10-18,PAYO,,Software Infrastructure,3.698B,8.319999694824219,8.399999618530273,8.194999694824219,8.350000381469727,8.350000381469727,2702800
2024-10-21,PAYO,,Software Infrastructure,3.698B,8.399999618530273,8.460000038146973,8.335000038146973,8.369999885559082,8.369999885559082,1642400
2024-10-22,PAYO,,Software Infrastructure,3.698B,8.350000381469727,8.555000305175781,8.310999870300293,8.489999771118164,8.489999771118164,1753700
2024-10-23,PAYO,,Software Infrastructure,3.698B,8.449999809265137,8.505000114440918,8.3149995803833,8.430000305175781,8.430000305175781,1694000
2024-10-24,PAYO,,Software Infrastructure,3.698B,8.359999656677246,8.460000038146973,8.300000190734863,8.399999618530273,8.399999618530273,1723500
2024-10-25,PAYO,,Software Infrastructure,3.698B,8.40999984741211,8.4399995803833,8.270000457763672,8.359999656677246,8.359999656677246,1335200
2024-10-28,PAYO,,Software Infrastructure,3.698B,8.40999984741211,8.470000267028809,8.380000114440918,8.470000267028809,8.470000267028809,1400500
2024-10-29,PAYO,,Software Infrastructure,3.698B,8.460000038146973,8.600000381469727,8.40999984741211,8.550000190734863,8.550000190734863,1558100
2024-10-30,PAYO,,Software Infrastructure,3.698B,8.550000190734863,8.734999656677246,8.545000076293945,8.550000190734863,8.550000190734863,2551000
2024-10-31,PAYO,,Software Infrastructure,3.698B,8.520000457763672,8.6899995803833,8.489999771118164,8.619999885559082,8.619999885559082,2722700
