Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume
2024-08-01,HEAR,,Consumer Electronics,298.378M,14.449999809265137,14.460000038146973,13.560999870300293,13.75,13.75,244600
2024-08-02,HEAR,,Consumer Electronics,298.378M,13.199999809265137,13.359999656677246,12.829999923706055,13.100000381469727,13.100000381469727,310600
2024-08-05,HEAR,,Consumer Electronics,298.378M,12.1899995803833,12.819999694824219,12.100000381469727,12.729999542236328,12.729999542236328,239300
2024-08-06,HEAR,,Consumer Electronics,298.378M,12.739999771118164,12.989999771118164,12.4399995803833,12.770000457763672,12.770000457763672,179200
2024-08-07,HEAR,,Consumer Electronics,298.378M,12.90999984741211,12.970000267028809,12.430000305175781,12.5,12.5,212100
2024-08-08,HEAR,,Consumer Electronics,298.378M,12.579999923706055,13.029999732971191,12.539999961853027,12.819999694824219,12.819999694824219,242000
2024-08-09,HEAR,,Consumer Electronics,298.378M,14.699999809265137,16.170000076293945,14.279999732971191,14.770000457763672,14.770000457763672,597900
2024-08-12,HEAR,,Consumer Electronics,298.378M,14.779999732971191,15.03499984741211,14.170000076293945,14.1899995803833,14.1899995803833,258900
2024-08-13,HEAR,,Consumer Electronics,298.378M,14.359999656677246,15.289999961853027,14.210000038146973,14.90999984741211,14.90999984741211,342200
2024-08-14,HEAR,,Consumer Electronics,298.378M,14.8100004196167,14.930000305175781,14.15999984741211,14.180000305175781,14.180000305175781,288000
2024-08-15,HEAR,,Consumer Electronics,298.378M,14.489999771118164,14.899999618530273,14.390000343322754,14.729999542236328,14.729999542236328,243300
2024-08-16,HEAR,,Consumer Electronics,298.378M,14.6899995803833,15.449999809265137,14.6899995803833,15.180000305175781,15.180000305175781,243000
2024-08-19,HEAR,,Consumer Electronics,298.378M,14.859999656677246,15.319999694824219,14.859999656677246,15.289999961853027,15.289999961853027,166800
2024-08-20,HEAR,,Consumer Electronics,298.378M,15.720000267028809,15.84000015258789,15.0,15.149999618530273,15.149999618530273,152700
2024-08-21,HEAR,,Consumer Electronics,298.378M,15.180000305175781,15.279999732971191,14.899999618530273,15.199999809265137,15.199999809265137,106800
