Ticker,Company Name,Industry,Sector,X-Spot-Id,X-Post-Id,Conversation Id
ANET,"Arista Networks, Inc.",Computer Hardware,Technology,sp_Rba9aFpG,finmb$33348547,sp_Rba9aFpG_finmb$33348547
APH,Amphenol Corporation,Electronic Components,Technology,sp_Rba9aFpG,finmb$24827,sp_Rba9aFpG_finmb$24827
APLD,Applied Digital Corporation,Software Application,Technology,sp_Rba9aFpG,finmb$3563673,sp_Rba9aFpG_finmb$3563673
APP,AppLovin Corporation,Software Application,Technology,sp_Rba9aFpG,finmb$231651802,sp_Rba9aFpG_finmb$231651802
ARQQ,Arqit Quantum Inc.,Software Infrastructure,Technology,sp_Rba9aFpG,finmb$598954721,sp_Rba9aFpG_finmb$598954721
ARRY,"Array Technologies, Inc.",Solar,Technology,sp_Rba9aFpG,finmb$51751457,sp_Rba9aFpG_finmb$51751457
ASTS,"AST SpaceMobile, Inc.",Communication Equipment,Technology,sp_Rba9aFpG,finmb$557143394,sp_Rba9aFpG_finmb$557143394
ATOM,Atomera Incorporated,Semiconductor Equipment & Materials,Technology,sp_Rba9aFpG,finmb$39088201,sp_Rba9aFpG_finmb$39088201
AVGO,Broadcom Inc.,Semiconductors,Technology,sp_Rba9aFpG,finmb$25016048,sp_Rba9aFpG_finmb$25016048
BAND,Bandwidth Inc.,Software Infrastructure,Technology,sp_Rba9aFpG,finmb$1054561,sp_Rba9aFpG_finmb$1054561
BASE,"Couchbase, Inc.",Software Infrastructure,Technology,sp_Rba9aFpG,finmb$99803114,sp_Rba9aFpG_finmb$99803114
BILL,"BILL Holdings, Inc.",Software Application,Technology,sp_Rba9aFpG,finmb$37326955,sp_Rba9aFpG_finmb$37326955
BKSY,BlackSky Technology Inc.,Scientific & Technical Instruments,Technology,sp_Rba9aFpG,finmb$336308405,sp_Rba9aFpG_finmb$336308405
BL,"BlackLine, Inc.",Software Application,Technology,sp_Rba9aFpG,finmb$46422711,sp_Rba9aFpG_finmb$46422711
BMBL,Bumble Inc.,Software Application,Technology,sp_Rba9aFpG,finmb$331389951,sp_Rba9aFpG_finmb$331389951
BMI,"Badger Meter, Inc.",Scientific & Technical Instruments,Technology,sp_Rba9aFpG,finmb$253478,sp_Rba9aFpG_finmb$253478
BTDR,Bitdeer Technologies Group,Software Application,Technology,sp_Rba9aFpG,finmb$1801200348,sp_Rba9aFpG_finmb$1801200348
CAMT,Camtek Ltd.,Semiconductor Equipment & Materials,Technology,sp_Rba9aFpG,finmb$527153,sp_Rba9aFpG_finmb$527153
CDNS,"Cadence Design Systems, Inc.",Software Application,Technology,sp_Rba9aFpG,finmb$25941,sp_Rba9aFpG_finmb$25941
COHR,Coherent Corp.,Scientific & Technical Instruments,Technology,sp_Rba9aFpG,finmb$309779,sp_Rba9aFpG_finmb$309779
CORZ,"Core Scientific, Inc.",Software Infrastructure,Technology,sp_Rba9aFpG,finmb$575837243,sp_Rba9aFpG_finmb$575837243
CRSR,"Corsair Gaming, Inc.",Computer Hardware,Technology,sp_Rba9aFpG,finmb$531207172,sp_Rba9aFpG_finmb$531207172
CRWD,"CrowdStrike Holdings, Inc.",Software Infrastructure,Technology,sp_Rba9aFpG,finmb$420347413,sp_Rba9aFpG_finmb$420347413
CSCO,"Cisco Systems, Inc.",Communication Equipment,Technology,sp_Rba9aFpG,finmb$19691,sp_Rba9aFpG_finmb$19691
CSIQ,Canadian Solar Inc.,Solar,Technology,sp_Rba9aFpG,finmb$29762552,sp_Rba9aFpG_finmb$29762552
DDOG,"Datadog, Inc.",Software Application,Technology,sp_Rba9aFpG,finmb$134521275,sp_Rba9aFpG_finmb$134521275
DELL,Dell Technologies Inc.,Computer Hardware,Technology,sp_Rba9aFpG,finmb$266017,sp_Rba9aFpG_finmb$266017
DMRC,Digimarc Corporation,Software Application,Technology,sp_Rba9aFpG,finmb$46271970,sp_Rba9aFpG_finmb$46271970
DOCU,"DocuSign, Inc.",Software Application,Technology,sp_Rba9aFpG,finmb$9817309,sp_Rba9aFpG_finmb$9817309
DOX,Amdocs Limited,Software Infrastructure,Technology,sp_Rba9aFpG,finmb$24686,sp_Rba9aFpG_finmb$24686
ENPH,"Enphase Energy, Inc.",Solar,Technology,sp_Rba9aFpG,finmb$40485464,sp_Rba9aFpG_finmb$40485464
ESTC,Elastic N.V.,Software Application,Technology,sp_Rba9aFpG,finmb$224101504,sp_Rba9aFpG_finmb$224101504
FICO,Fair Isaac Corporation,Software Application,Technology,sp_Rba9aFpG,finmb$270427,sp_Rba9aFpG_finmb$270427
FIS,"Fidelity National Information Services, Inc.",Software Application,Technology,sp_Rba9aFpG,finmb$10081196,sp_Rba9aFpG_finmb$10081196
FLEX,Flex Ltd.,Electronic Components,Technology,sp_Rba9aFpG,finmb$26510,sp_Rba9aFpG_finmb$26510
FORM,"FormFactor, Inc.",Semiconductor Equipment & Materials,Technology,sp_Rba9aFpG,finmb$124752,sp_Rba9aFpG_finmb$124752
FOUR,"Shift4 Payments, Inc.",Software Infrastructure,Technology,sp_Rba9aFpG,finmb$22308082,sp_Rba9aFpG_finmb$22308082
FSLR,"First Solar, Inc.",Solar,Technology,sp_Rba9aFpG,finmb$4593731,sp_Rba9aFpG_finmb$4593731
GCT,GigaCloud Technology Inc.,Software Infrastructure,Technology,sp_Rba9aFpG,finmb$1789177587,sp_Rba9aFpG_finmb$1789177587
GEN,Gen Digital Inc.,Software Infrastructure,Technology,sp_Rba9aFpG,finmb$35000,sp_Rba9aFpG_finmb$35000
