Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score,Volume-Weighted Sentiment,Normalized Sentiment
2024-08-22,BAND,Technology,Software Infrastructure,510.863M,17.239999771118164,17.34000015258789,16.190000534057617,16.34000015258789,16.34000015258789,216100,0.0,0.9981800317764282,1.0,0.0,0.0,0.0
2024-08-23,BAND,Technology,Software Infrastructure,510.863M,16.579999923706055,17.360000610351562,16.549999237060547,17.329999923706055,17.329999923706055,268900,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-26,BAND,Technology,Software Infrastructure,510.863M,17.360000610351562,17.649999618530273,17.040000915527344,17.56999969482422,17.56999969482422,136700,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-27,BAND,Technology,Software Infrastructure,510.863M,17.239999771118164,17.655000686645508,16.979999542236328,17.260000228881836,17.260000228881836,171700,-5.0,0.9576976415496202,159.0,-0.0314465408805031,-858500.0,-0.4843714737079666
2024-08-28,BAND,Technology,Software Infrastructure,510.863M,17.040000915527344,17.14699935913086,16.770000457763672,17.110000610351562,17.110000610351562,186200,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-29,BAND,Technology,Software Infrastructure,510.863M,17.290000915527344,17.700000762939453,17.06999969482422,17.579999923706055,17.579999923706055,228900,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-30,BAND,Technology,Software Infrastructure,510.863M,17.59000015258789,17.739999771118164,16.920000076293945,17.15999984741211,17.15999984741211,156200,2.0,0.9735277403484692,33.0,0.0606060606060606,312400.0,1.0
2024-09-03,BAND,Technology,Software Infrastructure,510.863M,16.84000015258789,17.209999084472656,16.81999969482422,16.8799991607666,16.8799991607666,187800,-53.0,0.9403051308315732,460.0,-0.1152173913043478,-9953400.0,-31.861075544174135
2024-09-04,BAND,Technology,Software Infrastructure,510.863M,16.770000457763672,17.1200008392334,16.549999237060547,16.860000610351562,16.860000610351562,184100,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-05,BAND,Technology,Software Infrastructure,510.863M,16.84000015258789,17.280000686645508,16.68000030517578,17.100000381469727,17.100000381469727,139400,0.0,0.0,0.0,0.0,0.0,0.0
