Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score
2024-08-01,MEI,Technology,Electronic Components,327.779M,12.670000076293944,12.84000015258789,11.779999732971191,11.740708351135254,11.740708351135254,627500,,,,
2024-08-02,MEI,Technology,Electronic Components,327.779M,11.369999885559082,11.390000343322754,11.06999969482422,11.217362403869627,11.217362403869627,502600,,,,
2024-08-05,MEI,Technology,Electronic Components,327.779M,10.539999961853027,10.729999542236328,10.229999542236328,10.526151657104492,10.526151657104492,380500,,,,
2024-08-06,MEI,Technology,Electronic Components,327.779M,10.630000114440918,10.789999961853027,10.3100004196167,10.486654281616213,10.486654281616213,354200,,,,
2024-08-07,MEI,Technology,Electronic Components,327.779M,10.899999618530272,10.93000030517578,10.18000030517578,10.081802368164062,10.081802368164062,286800,0.0,0.8131527304649353,1.0,0.0
2024-08-08,MEI,Technology,Electronic Components,327.779M,10.260000228881836,10.369999885559082,10.140000343322754,10.180547714233398,10.180547714233398,266700,,,,
2024-08-09,MEI,Technology,Electronic Components,327.779M,10.25,10.5,9.970000267028809,9.992932319641112,9.992932319641112,262500,,,,
2024-08-12,MEI,Technology,Electronic Components,327.779M,10.25,10.25,9.739999771118164,9.834941864013672,9.834941864013672,335500,,,,
2024-08-13,MEI,Technology,Electronic Components,327.779M,9.920000076293944,10.460000038146973,9.869999885559082,10.279291152954102,10.279291152954102,310600,,,,
2024-08-14,MEI,Technology,Electronic Components,327.779M,10.489999771118164,10.529999732971191,10.170000076293944,10.23979377746582,10.23979377746582,277600,,,,
2024-08-15,MEI,Technology,Electronic Components,327.779M,10.65999984741211,10.81999969482422,10.4399995803833,10.624897003173828,10.624897003173828,269200,,,,
2024-08-16,MEI,Technology,Electronic Components,327.779M,10.609999656677246,10.869999885559082,10.529999732971191,10.5952730178833,10.5952730178833,270900,,,,
2024-08-19,MEI,Technology,Electronic Components,327.779M,10.720000267028809,10.880000114440918,10.670000076293944,10.723640441894531,10.723640441894531,191000,,,,
2024-08-20,MEI,Technology,Electronic Components,327.779M,10.800000190734863,10.979999542236328,10.300000190734863,10.170672416687012,10.170672416687012,214800,,,,
2024-08-21,MEI,Technology,Electronic Components,327.779M,10.40999984741211,10.880000114440918,10.350000381469728,10.703892707824709,10.703892707824709,264400,,,,
2024-08-22,MEI,Technology,Electronic Components,327.779M,10.869999885559082,10.869999885559082,9.84000015258789,9.755946159362791,9.755946159362791,374500,,,,
2024-08-23,MEI,Technology,Electronic Components,327.779M,10.020000457763672,10.640000343322754,9.989999771118164,10.49652862548828,10.49652862548828,365100,-1.0,0.9995736479759216,1.0,-1.0
2024-08-26,MEI,Technology,Electronic Components,327.779M,10.81999969482422,10.81999969482422,10.5,10.46690559387207,10.46690559387207,369500,,,,
2024-08-27,MEI,Technology,Electronic Components,327.779M,10.460000038146973,10.479999542236328,10.140000343322754,10.111425399780272,10.111425399780272,195900,,,,
2024-08-28,MEI,Technology,Electronic Components,327.779M,10.140000343322754,10.15999984741211,9.8100004196167,9.844816207885742,9.844816207885742,287000,,,,
2024-08-29,MEI,Technology,Electronic Components,327.779M,9.979999542236328,10.579999923706056,9.899999618530272,10.29904079437256,10.29904079437256,277700,,,,
2024-08-30,MEI,Technology,Electronic Components,327.779M,10.460000038146973,10.550000190734863,10.239999771118164,10.289165496826172,10.289165496826172,292400,,,,
2024-09-03,MEI,Technology,Electronic Components,327.779M,10.260000228881836,10.399999618530272,9.880000114440918,9.815192222595217,9.815192222595217,376700,,,,
2024-09-04,MEI,Technology,Electronic Components,327.779M,9.800000190734863,10.130000114440918,9.760000228881836,9.933686256408691,9.933686256408691,425900,,,,
2024-09-05,MEI,Technology,Electronic Components,327.779M,10.260000228881836,10.93000030517578,9.789999961853027,10.21017074584961,10.21017074584961,525400,1.0,0.7718761563301086,2.0,0.5
2024-09-06,MEI,Technology,Electronic Components,327.779M,10.329999923706056,10.329999923706056,9.65999984741211,9.617703437805176,9.617703437805176,364600,,,,
2024-09-09,MEI,Technology,Electronic Components,327.779M,9.739999771118164,9.739999771118164,9.300000190734863,9.538707733154297,9.538707733154297,469400,,,,
2024-09-10,MEI,Technology,Electronic Components,327.779M,9.520000457763672,9.81999969482422,9.350000381469728,9.637453079223633,9.637453079223633,431300,,,,
2024-09-11,MEI,Technology,Electronic Components,327.779M,9.739999771118164,9.979999542236328,9.630000114440918,9.785569190979004,9.785569190979004,343800,,,,
2024-09-12,MEI,Technology,Electronic Components,327.779M,9.800000190734863,10.119999885559082,9.75,9.89418888092041,9.89418888092041,359100,,,,
2024-09-13,MEI,Technology,Electronic Components,327.779M,10.25,10.600000381469728,10.1899995803833,10.437281608581545,10.437281608581545,395500,,,,
2024-09-16,MEI,Technology,Electronic Components,327.779M,10.649999618530272,10.649999618530272,10.4399995803833,10.407658576965332,10.407658576965332,368100,,,,
2024-09-17,MEI,Technology,Electronic Components,327.779M,10.729999542236328,10.949999809265137,10.479999542236328,10.57552433013916,10.57552433013916,411100,,,,
2024-09-18,MEI,Technology,Electronic Components,327.779M,10.699999809265137,11.279999732971191,10.579999923706056,10.822385787963867,10.822385787963867,436400,,,,
2024-09-19,MEI,Technology,Electronic Components,327.779M,11.399999618530272,11.460000038146973,11.100000381469728,11.276609420776367,11.276609420776367,477800,,,,
2024-09-20,MEI,Technology,Electronic Components,327.779M,11.59000015258789,12.010000228881836,11.550000190734863,11.523470878601074,11.523470878601074,1221800,0.0,0.9999891519546508,1.0,0.0
2024-09-23,MEI,Technology,Electronic Components,327.779M,11.720000267028809,11.880000114440918,11.279999732971191,11.217362403869627,11.217362403869627,497400,,,,
2024-09-24,MEI,Technology,Electronic Components,327.779M,11.4399995803833,11.539999961853027,11.31999969482422,11.306232452392578,11.306232452392578,369400,,,,
2024-09-25,MEI,Technology,Electronic Components,327.779M,11.43000030517578,11.43000030517578,11.149999618530272,11.00999927520752,11.00999927520752,604900,,,,
2024-09-26,MEI,Technology,Electronic Components,327.779M,11.649999618530272,12.279999732971191,11.579999923706056,12.096187591552734,12.096187591552734,402100,2.0,0.9335697520862926,165.0,0.012121212121212121
2024-09-27,MEI,Technology,Electronic Components,327.779M,12.4399995803833,12.470000267028809,11.9399995803833,11.819704055786133,11.819704055786133,330700,0.0,0.9999902844429016,2.0,0.0
2024-09-30,MEI,Technology,Electronic Components,327.779M,11.609999656677246,12.050000190734863,11.40999984741211,11.809829711914062,11.809829711914062,561900,,,,
2024-10-01,MEI,Technology,Electronic Components,327.779M,11.920000076293944,11.920000076293944,11.359999656677246,11.266735076904297,11.266735076904297,270600,,,,
2024-10-02,MEI,Technology,Electronic Components,327.779M,11.380000114440918,11.5600004196167,11.25,11.256860733032228,11.256860733032228,245300,,,,
2024-10-03,MEI,Technology,Electronic Components,327.779M,11.199999809265137,11.34000015258789,10.8100004196167,10.743390083312988,10.743390083312988,357600,,,,
2024-10-04,MEI,Technology,Electronic Components,327.779M,11.220000267028809,11.220000267028809,10.979999542236328,10.940878868103027,10.940878868103027,231000,,,,
2024-10-07,MEI,Technology,Electronic Components,327.779M,11.039999961853027,11.039999961853027,10.40999984741211,10.35828685760498,10.35828685760498,407400,,,,
2024-10-08,MEI,Technology,Electronic Components,327.779M,10.390000343322754,10.5600004196167,10.149999618530272,10.407658576965332,10.407658576965332,827900,,,,
2024-10-09,MEI,Technology,Electronic Components,327.779M,10.539999961853027,10.65999984741211,10.43000030517578,10.33853816986084,10.33853816986084,401600,,,,
2024-10-10,MEI,Technology,Electronic Components,327.779M,10.289999961853027,10.539999961853027,10.149999618530272,10.269416809082031,10.269416809082031,375300,,,,
2024-10-11,MEI,Technology,Electronic Components,327.779M,10.489999771118164,11.109999656677246,10.40999984741211,10.832260131835938,10.832260131835938,591900,,,,
2024-10-14,MEI,Technology,Electronic Components,327.779M,10.90999984741211,11.140000343322754,10.710000038146973,10.980376243591309,10.980376243591309,340800,,,,
2024-10-15,MEI,Technology,Electronic Components,327.779M,11.130000114440918,11.34000015258789,10.979999542236328,10.852008819580078,10.852008819580078,342000,0.0,0.98964381814003,30.0,0.0
2024-10-16,MEI,Technology,Electronic Components,327.779M,11.109999656677246,11.239999771118164,10.970000267028809,11.098869323730469,11.098869323730469,368800,,,,
2024-10-17,MEI,Technology,Electronic Components,327.779M,11.239999771118164,11.25,10.779999732971191,11.00999927520752,11.00999927520752,317000,,,,
2024-10-18,MEI,Technology,Electronic Components,327.779M,10.9399995803833,11.170000076293944,10.869999885559082,10.979999542236328,10.979999542236328,252000,,,,
2024-10-21,MEI,Technology,Electronic Components,327.779M,10.90999984741211,10.90999984741211,10.300000190734863,10.449999809265137,10.449999809265137,571500,,,,
2024-10-22,MEI,Technology,Electronic Components,327.779M,10.449999809265137,10.619999885559082,10.260000228881836,10.34000015258789,10.34000015258789,301900,,,,
2024-10-23,MEI,Technology,Electronic Components,327.779M,10.170000076293944,10.300000190734863,10.020000457763672,10.06999969482422,10.06999969482422,206100,,,,
2024-10-24,MEI,Technology,Electronic Components,327.779M,10.220000267028809,10.220000267028809,9.1899995803833,9.199999809265137,9.199999809265137,556400,,,,
2024-10-25,MEI,Technology,Electronic Components,327.779M,9.239999771118164,9.579999923706056,9.170000076293944,9.1899995803833,9.1899995803833,271200,-1.0,0.9703566431999208,1.0,-1.0
2024-10-28,MEI,Technology,Electronic Components,327.779M,9.3100004196167,9.630000114440918,9.260000228881836,9.529999732971191,9.529999732971191,325800,-1.0,0.999680995941162,1.0,-1.0
2024-10-29,MEI,Technology,Electronic Components,327.779M,9.449999809265137,9.5600004196167,9.279999732971191,9.43000030517578,9.43000030517578,236300,,,,
2024-10-30,MEI,Technology,Electronic Components,327.779M,9.34000015258789,9.56999969482422,9.210000038146973,9.229999542236328,9.229999542236328,328400,,,,
2024-10-31,MEI,Technology,Electronic Components,327.779M,9.229999542236328,9.270000457763672,8.699999809265137,8.720000267028809,8.720000267028809,791100,,,,
