Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score,Volume-Weighted Sentiment,Normalized VWS (7 Days),Daily Return,Rolling Avg (7 Days),Volatility (7 Days),Momentum (7 Days)
2024-08-15,MSTR,Technology,Software Application,71.807B,132.6999969482422,139.0,130.72999572753906,131.92999267578125,131.92999267578125,10856900,-3,0.956778025123435,71,-0.0422535211267605,-32570700,-0.4769664007310301,0.011965924806482509,132.1692853655134,3.978347889904162,-4.9910125732421875
2024-08-16,MSTR,Technology,Software Application,71.807B,133.25,136.32000732421875,126.58999633789062,133.0399932861328,133.0399932861328,11360400,0,0.9621965472514812,65,0.0,0,0.0,0.00841355773496777,133.36285618373327,2.2261626482249057,8.354995727539048
2024-08-19,MSTR,Technology,Software Application,71.807B,133.6999969482422,137.44000244140625,131.16000366210938,135.35000610351562,135.35000610351562,6595700,-1,0.9454222104766152,22,-0.0454545454545454,-6595700,-0.0965876474654107,0.017363296256446725,133.27142769949776,2.110416149864424,-0.6399993896484375
2024-08-20,MSTR,Technology,Software Application,71.807B,139.74000549316406,141.36000061035156,130.6300048828125,133.69000244140625,133.69000244140625,11274600,-1,0.98107392512835,52,-0.0192307692307692,-11274600,-0.1651056127649105,-0.012264525949410077,133.03142874581474,1.9188173908792403,-1.67999267578125
2024-08-21,MSTR,Technology,Software Application,71.807B,134.33999633789062,142.5800018310547,132.8699951171875,141.4199981689453,141.4199981689453,11774500,-2,0.9526414049082788,58,-0.0344827586206896,-23549000,-0.3448523295727457,0.057820297601737014,134.45428466796875,3.554768112806913,9.959991455078125
2024-08-22,MSTR,Technology,Software Application,71.807B,141.38999938964844,141.77999877929688,133.69000244140625,133.80999755859375,133.80999755859375,7963400,4,0.9761878457562676,29,0.1379310344827586,31853600,0.4664651647746576,-0.05381134711414992,134.22999790736608,3.536106006170203,-1.57000732421875
2024-08-23,MSTR,Technology,Software Application,71.807B,137.39999389648438,151.80999755859375,135.50999450683594,150.00999450683594,150.00999450683594,17791300,1,0.9636979443686348,84,0.0119047619047619,17791300,0.5585334153753422,0.12106716421654817,137.03571210588728,6.506774932251347,19.639999389648438
2024-08-26,MSTR,Technology,Software Application,71.807B,148.1199951171875,152.35000610351562,146.60000610351562,146.89999389648438,146.89999389648438,10418800,-2,0.9209781527519226,35,-0.0571428571428571,-20837600,-0.6541678177662807,-0.02073195603116862,139.17428370884485,6.99106554768721,14.970001220703125
2024-08-27,MSTR,Technology,Software Application,71.807B,144.47999572753906,145.24000549316406,138.19000244140625,140.00999450683594,140.00999450683594,10943100,-1,0.9336606646195436,39,-0.0256410256410256,-10943100,-0.3435435869101138,-0.0469026526611267,140.1699981689453,6.446946919507516,6.970001220703125
2024-08-28,MSTR,Technology,Software Application,71.807B,138.16000366210938,138.39999389648438,130.72999572753906,132.08999633789062,132.08999633789062,8860100,-1,0.9648665846404384,59,-0.0169491525423728,-8860100,-0.2781506642891227,-0.05656737718505245,139.70428248814173,6.951194332742422,-3.260009765625
2024-08-29,MSTR,Technology,Software Application,71.807B,137.0,139.42999267578125,131.0,132.55999755859375,132.55999755859375,8431400,-1,0.9174361129601796,18,-0.0555555555555555,-8431400,-0.2646922168922822,0.00355818936886676,139.54285321916853,7.125089972778582,-1.1300048828125
2024-08-30,MSTR,Technology,Software Application,71.807B,134.0,135.25,128.3000030517578,132.4199981689453,132.4199981689453,7803000,-3,0.9509372313817342,24,-0.125,-23409000,-0.7348933872466534,-0.0010561209431718677,138.25713893345423,7.530398451761238,-9.0
2024-09-03,MSTR,Technology,Software Application,71.807B,132.0,132.72999572753906,122.19000244140624,122.31999969482422,122.31999969482422,8258800,-2,0.9239557087421416,42,-0.0476190476190476,-16517600,-0.9284088290344156,-0.07627245592644716,136.61571066720145,9.622861134510513,-11.489997863769531
2024-09-04,MSTR,Technology,Software Application,71.807B,120.25,125.9800033569336,117.94000244140624,124.8499984741211,124.8499984741211,8191100,-1,0.9201084189116956,32,-0.03125,-8191100,1.0,0.020683443309425842,133.02142551967077,8.40822694613066,-25.159996032714844
2024-09-05,MSTR,Technology,Software Application,71.807B,122.3499984741211,126.83000183105467,119.43000030517578,119.56999969482422,119.56999969482422,6066600,2,0.9664474771572992,26,0.0769230769230769,12133200,1.0,-0.04229073963818519,129.11714063371932,7.139231932341672,-27.329994201660156
2024-09-06,MSTR,Technology,Software Application,71.807B,122.93000030517578,124.69000244140624,113.69000244140624,114.3000030517578,114.3000030517578,8795500,2,0.9437503407641156,41,0.048780487804878,17591000,1.0,-0.04407457268977932,125.44428471156529,7.214291392206555,-25.70999145507814
2024-09-09,MSTR,Technology,Software Application,71.807B,118.93000030517578,125.2300033569336,117.5,124.81999969482422,124.81999969482422,9771200,2,0.942026847117656,37,0.054054054054054,19542400,1.0,0.09203846336121901,124.4057137625558,6.594819219141643,-7.269996643066406
2024-09-10,MSTR,Technology,Software Application,71.807B,123.0,129.82000732421875,121.5500030517578,129.63999938964844,129.63999938964844,7738000,1,0.9791999389143552,17,0.0588235294117647,7738000,0.3959595546094645,0.03861560412280696,123.98857116699219,6.064063398186985,-2.9199981689453125
2024-09-11,MSTR,Technology,Software Application,71.807B,124.80999755859376,131.0,121.3000030517578,129.27999877929688,129.27999877929688,8731200,-3,0.9372740601881956,39,-0.0769230769230769,-26193600,-1.3403471426232192,-0.002776925424610166,123.53999982561383,5.418162673395245,-3.1399993896484375
2024-09-12,MSTR,Technology,Software Application,71.807B,129.0,134.10000610351562,127.2699966430664,130.77000427246094,130.77000427246094,6052400,4,0.96795776311089,17,0.2352941176470588,24209600,1.0,0.011525413886395164,124.7471433367048,6.010034890635826,8.450004577636719
2024-09-13,MSTR,Technology,Software Application,71.807B,131.10000610351562,143.0,129.83999633789062,141.47000122070312,141.47000122070312,12239100,6,0.963785211804887,71,0.0845070422535211,73434600,1.0,0.08182302208959635,127.12142944335938,8.726452804884898,16.62000274658203
2024-09-16,MSTR,Technology,Software Application,71.807B,137.02000427246094,137.8800048828125,132.6699981689453,134.52999877929688,134.52999877929688,8765900,2,0.9543245024151272,45,0.0444444444444444,17531800,0.2387403213199227,-0.049056353866706814,129.2585721697126,8.394413087127257,14.959999084472656
2024-09-17,MSTR,Technology,Software Application,71.807B,138.3699951171875,140.16000366210938,128.82000732421875,131.27000427246094,131.27000427246094,21043400,-2,0.95334927918333,132,-0.0151515151515151,-42086800,-0.5731194831863998,-0.02423247258170369,131.68285805838448,5.1952536194305825,16.97000122070314
2024-09-18,MSTR,Technology,Software Application,71.807B,130.44000244140625,139.49000549316406,128.50999450683594,132.6699981689453,132.6699981689453,16345600,6,0.9497453965570616,92,0.0652173913043478,98073600,1.0,0.010664994674477013,132.80428641183036,4.223276193459325,7.849998474121094
2024-09-19,MSTR,Technology,Software Application,71.807B,140.4499969482422,148.9600067138672,139.6199951171875,144.66000366210938,144.66000366210938,20177300,7,0.9466845187164792,149,0.046979865771812,141241100,1.0,0.09037465635520459,134.9500013078962,5.849972123735047,15.020004272460938
2024-09-20,MSTR,Technology,Software Application,71.807B,144.38999938964844,148.02999877929688,141.63999938964844,144.77999877929688,144.77999877929688,12332300,1,0.9445021217283996,46,0.0217391304347826,12332300,0.0873138201274275,0.0008294975400926496,137.16428702218192,6.2648694603699076,15.5
2024-09-23,MSTR,Technology,Software Application,71.807B,147.47999572753906,151.58999633789062,145.00999450683594,149.97000122070312,149.97000122070312,10090300,3,0.9705757654231528,23,0.1304347826086956,30270900,0.2143207607417387,0.035847509912732445,139.90714372907365,7.1405900781132035,19.199996948242188
2024-09-24,MSTR,Technology,Software Application,71.807B,150.16000366210938,154.3300018310547,146.7100067138672,153.8800048828125,153.8800048828125,9365200,5,0.955598854704907,38,0.131578947368421,46826000,0.3315323938995094,0.026071905249605454,141.68000139508928,8.91370961998763,12.410003662109375
2024-09-25,MSTR,Technology,Software Application,71.807B,152.3000030517578,157.8800048828125,151.5,151.94000244140625,151.94000244140625,7839400,6,0.9801994794506136,59,0.1016949152542373,47036400,0.3330220452828532,-0.01260724187579576,144.16714477539062,9.014518140589548,17.410003662109375
2024-09-26,MSTR,Technology,Software Application,71.807B,157.6300048828125,167.50999450683594,156.3800048828125,165.97999572753906,165.97999572753906,17068500,2,0.9626936407192892,46,0.0434782608695652,34137000,0.2416931049106811,0.09240485099733475,149.12571498325892,10.205566518702156,34.709991455078125
2024-09-27,MSTR,Technology,Software Application,71.807B,170.47999572753906,179.60000610351562,168.30999755859375,176.22000122070312,176.22000122070312,17321200,1,0.9539491328455152,84,0.0119047619047619,17321200,0.1226356917356208,0.06169421470508607,155.3471439906529,11.67110396371667,43.55000305175781
2024-09-30,MSTR,Technology,Software Application,71.807B,168.6300048828125,175.50999450683594,167.30999755859375,168.60000610351562,168.60000610351562,13338100,2,0.9594747967190213,45,0.0444444444444444,26676200,0.5671394919679227,-0.04324137478380785,158.76714433942522,11.524152719922977,23.94000244140625
2024-10-01,MSTR,Technology,Software Application,71.807B,168.52000427246094,169.42999267578125,157.02000427246094,162.69000244140625,162.69000244140625,14103300,1,0.9375433229974338,56,0.0178571428571428,14103300,0.2998379978059545,-0.03505340123464051,161.32571629115515,9.753299588818269,17.910003662109375
2024-10-02,MSTR,Technology,Software Application,71.807B,160.50999450683594,173.8800048828125,159.16000366210938,164.63999938964844,164.63999938964844,12557500,4,0.9762084686149984,59,0.0677966101694915,50230000,1.0,0.011985966678834448,163.42143031529017,8.38698599035463,14.669998168945312
2024-10-03,MSTR,Technology,Software Application,71.807B,163.38999938964844,165.86000061035156,157.82000732421875,163.41000366210938,163.41000366210938,8814200,1,0.9564911414837016,29,0.0344827586206896,8814200,0.1754768066892295,-0.007470819558423769,164.7828587123326,7.2805233824840885,9.529998779296875
