Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score,Volume-Weighted Sentiment,Normalized VWS (7 Days),Daily Return,Rolling Avg (7 Days),Volatility (7 Days)_USP1_2,Momentum (7 Days),EWMA Volatility,Volatility Class,Interest_Rate,Inflation,GDP,Unemployment,Industrial Production,Stock Market Performance,VIX OPEN,VIX HIGH,VIX LOW,VIX CLOSE,Normalized VWS,Normalized Volatility,Normalized EWMA Volatility,Event Flag,Volatility (7 Days)_USP3,Close
2024-08-01,DDOG,Technology,Software Application,42.836B,115.01000213623048,116.69000244140624,111.30999755859376,113.0999984741211,4260400,1.0,0.9978286027908324,2.0,0.5,4260400.0,1.0,0.0,113.0999984741211,113.0999984741211,113.0999984741211,0.0343754640945625,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,16.2,19.48,15.95,18.59,0.1758656216994097,1.0000000000000002,0.9164573814688556,0.0,113.0999984741211,113.0999984741211
2024-08-02,DDOG,Technology,Software Application,42.836B,109.88999938964844,109.91999816894533,106.1999969482422,107.25,5247300,-1.0,0.7398670315742493,2.0,-0.5,-5247300.0,-1.231644915970331,-0.0517241251374521,110.17499923706056,4.136573590981981,107.25,0.036574479635634,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.52,29.66,20.01,23.39,0.0,0.0299262611841147,0.9999999999999998,0.0,4.136573590981981,107.25
2024-08-05,DDOG,Technology,Software Application,42.836B,99.93000030517578,106.2300033569336,98.8000030517578,104.97000122070312,5975800,0.0,0.9967074394226074,1.0,0.0,0.0,0.0,-0.0212587298768939,108.43999989827472,4.1936009172984425,104.97000122070312,0.025773719357666,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,23.39,65.73,23.39,38.57,0.0970602434598602,0.0304339610082879,0.5896692047437986,0.0,4.1936009172984425,104.97000122070312
2024-08-06,DDOG,Technology,Software Application,42.836B,105.63999938964844,107.22000122070312,103.51000213623048,105.47000122070312,4623000,0.0,0.9999500513076782,1.0,0.0,0.0,0.0,0.0047632656395681,107.69750022888184,3.7322132136180497,105.47000122070312,0.0227682004204582,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,33.71,34.77,24.02,27.71,0.0970602434598602,0.0263263432894714,0.4754867820325272,0.0,3.7322132136180497,105.47000122070312
2024-08-07,DDOG,Technology,Software Application,42.836B,108.6999969482422,111.25,107.2699966430664,108.04000091552734,7819200,1.0,0.9974395235379536,3.0,0.3333333333333333,7819200.0,1.0,0.0243671154364197,107.76600036621092,3.2358187446146314,108.04000091552734,0.0253655792373402,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,24.77,29.76,21.97,27.85,0.2416933796749306,0.0219070692166335,0.5741635870058632,0.0,3.2358187446146314,108.04000091552734
2024-08-08,DDOG,Technology,Software Application,42.836B,115.08000183105467,118.06999969482422,111.0199966430664,114.05999755859376,9763000,5.0,0.940535487497554,34.0,0.1470588235294117,48815000.0,1.0,0.0557200721219286,108.81499989827472,3.870247856148237,114.05999755859376,0.0349006566165311,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,28.34,29.47,23.36,23.79,1.0,0.0275552307065931,0.936409927368942,0.0,3.870247856148237,114.05999755859376
2024-08-09,DDOG,Technology,Software Application,42.836B,113.73999786376952,115.4499969482422,110.62999725341795,112.27999877929688,4515400,-1.0,0.9993433952331544,2.0,-0.5,-4515400.0,-0.0925002560688313,-0.015605811129204,109.30999973842076,3.7679600071606543,112.27999877929688,0.0327571433872625,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,23.78,24.52,20.26,20.37,0.013538084765169,0.0266445879270619,0.8549758925999151,0.0,3.7679600071606543,112.27999877929688
2024-08-12,DDOG,Technology,Software Application,42.836B,113.0500030517578,113.1999969482422,110.0999984741211,112.16000366210938,3557600,4.0,0.9509679128726324,66.0,0.0606060606060606,14230400.0,0.2915169517566321,-0.0010687132035276,109.17571476527624,3.624392833374902,-0.9399948120117188,0.0283495450870918,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.79,21.19,18.89,20.71,0.3602824889063173,0.0253664457872114,0.68752718814453,0.0,3.624392833374902,112.16000366210938
2024-08-13,DDOG,Technology,Software Application,42.836B,112.20999908447266,115.01499938964844,112.20999908447266,114.37000274658205,2816200,1.0,0.7520521879196167,1.0,1.0,2816200.0,0.0576912834169824,0.0197039854878255,110.19285801478794,3.975917672040433,7.1200027465820455,0.0255408651499643,High,5.33,314.121,23386.248,4.2,103.0449,5478.214577,20.06,20.79,17.95,18.12,0.1491519968628785,0.0284959822798156,0.580822859693451,0.0,3.975917672040433,114.37000274658205
2024-08-14,DDOG,Technology,Software Application,42.836B,114.80999755859376,115.3499984741211,113.2699966430664,114.1500015258789,2911800,0.0,0.0,0.0,0.0,0.0,0.0,-0.001923591985834,111.50428662981304,3.4445455578050046,9.18000030517578,0.0225504482920675,Medium,5.33,314.121,23386.248,4.2,103.0449,5478.214577,18.41,18.49,16.12,16.19,0.0970602434598602,0.0237653111017419,0.467214178834996,0.0,3.4445455578050046,114.1500015258789
