Ticker Name,Date,Normalized VWS,Normalized Volatility,Normalized EWMA Volatility,Event Flag,Close,Volatility (7 Days)
COHR,2024-08-01,0.5398983036198726,1.0000000000000002,0.7825573428698429,0.0,65.4800033569336,65.4800033569336
COHR,2024-08-02,0.351596748404692,0.0613098944050092,1.0,0.0,58.93000030517578,4.63155157469053
COHR,2024-08-05,0.5398983036198726,0.0631108781113087,0.6378572815677975,0.0,56.25,4.7482962485292965
COHR,2024-08-06,0.5398983036198726,0.0522011665270604,0.6394967049827738,0.0,57.939998626708984,4.0410990006457315
COHR,2024-08-07,0.5398983036198726,0.0464331532930619,0.4853151918580556,0.0,57.20000076293945,3.667200657564948
COHR,2024-08-08,0.5398983036198726,0.0434869143413252,0.7909515136250467,0.0,61.97999954223633,3.4762174164237343
COHR,2024-08-09,0.5398983036198726,0.0433809355402294,0.6445812473664713,0.0,63.34000015258789,3.4693475816081953
COHR,2024-08-12,0.6675901607071691,0.0484258700735308,0.5879063184599564,0.0,66.69999694824219,3.796373991990549
COHR,2024-08-13,0.5398983036198726,0.0586177626897268,0.4891023817149725,0.0,66.95999908447266,4.457040257385253
COHR,2024-08-14,0.5398983036198726,0.0546064099886391,0.4045362955355728,0.0,66.98999786376953,4.197013439206541
COHR,2024-08-15,0.5398983036198726,0.0596516905809402,0.4518297784158097,0.0,71.27999877929688,4.524062282076709
COHR,2024-08-16,0.8769608243264655,0.0660472281944556,0.4781849364389247,0.0,76.62999725341797,4.938638466248637
COHR,2024-08-19,0.6916698276731311,0.0731110856028409,0.4198270156392697,0.0,77.45999908447266,5.396536961554844
COHR,2024-08-20,0.5398983036198726,0.0727479839944522,0.3468724984992322,0.0,78.55000305175781,5.372999725380306
COHR,2024-08-21,0.5398983036198726,0.0753485445630793,0.2683462785736988,0.0,80.20999908447266,5.541575151310262
COHR,2024-08-22,0.5398983036198726,0.0628998157274733,0.3571598256306396,0.0,78.29000091552734,4.734614609392696
COHR,2024-08-23,0.5398983036198726,0.0352674765603738,0.2748830495667798,0.0,79.37999725341797,2.9434110509253455
COHR,2024-08-26,0.5398983036198726,0.0089209129767123,0.2157743956874379,0.0,79.43000030517578,1.235554971168257
COHR,2024-08-27,0.6240979127754277,0.0040779126989667,0.1601539242280096,0.0,79.4800033569336,0.9216184897615388
COHR,2024-08-28,0.5398983036198726,0.0,0.1294814665149603,0.0,78.79000091552734,0.6572770710587221
COHR,2024-08-29,0.5398983036198726,0.0027634998698284,0.1072486472937044,0.0,77.72000122070312,0.8364146667116616
COHR,2024-08-30,0.5398983036198726,0.0013011358336777,0.0598420001339901,0.0,77.94999694824219,0.7416202430659579
COHR,2024-09-03,0.4383363662990296,0.0316507788778184,0.4481438096807817,0.0,71.87999725341797,2.708966846990298
COHR,2024-09-04,0.5398983036198726,0.0354938124420454,0.4695506619836832,0.0,73.9000015258789,2.9580827598316146
COHR,2024-09-05,0.5398983036198726,0.0346187820223756,0.3804476515205328,0.0,74.26000213623047,2.901360902445545
COHR,2024-09-06,0.5398983036198726,0.0472854645283302,0.5613525616562879,0.0,68.54000091552734,3.72244979547912
COHR,2024-09-09,0.5398983036198726,0.0436039185852847,0.5885712756932393,0.0,70.80000305175781,3.483801950504205
