Date,Ticker Name,Sector,Industry,Market Cap,Open,High,Low,Close,Adj Close,Volume,Sentiment Score,Confidence,Total Text Count,Normalized Score
2024-08-01,AVGO,Technology,Semiconductors,769.898B,157.5,158.91000366210938,146.1699981689453,146.5380401611328,146.5380401611328,40320000,-5.0,0.941788136959076,63.0,-0.07936507936507936
2024-08-02,AVGO,Technology,Semiconductors,769.898B,141.92999267578125,145.35000610351562,139.60000610351562,143.34852600097656,143.34852600097656,33745800,-1.0,0.9154424922806876,42.0,-0.023809523809523808
2024-08-05,AVGO,Technology,Semiconductors,769.898B,129.61000061035156,145.4199981689453,128.5,141.61422729492188,141.61422729492188,41309300,5.0,0.9500239559195258,44.0,0.11363636363636363
2024-08-06,AVGO,Technology,Semiconductors,769.898B,141.72999572753906,148.91000366210938,140.25,143.4481964111328,143.4481964111328,24751300,-4.0,0.9552674397178318,23.0,-0.17391304347826086
2024-08-07,AVGO,Technology,Semiconductors,769.898B,148.25,150.10000610351562,135.8300018310547,135.82327270507812,135.82327270507812,29749800,3.0,0.9563300749287008,32.0,0.09375
2024-08-08,AVGO,Technology,Semiconductors,769.898B,141.1999969482422,146.27000427246094,138.39999389648438,145.26223754882812,145.26223754882812,27583200,5.0,0.9795695438104515,17.0,0.29411764705882354
2024-08-09,AVGO,Technology,Semiconductors,769.898B,144.1999969482422,149.5500030517578,144.11000061035156,147.77395629882812,147.77395629882812,18438700,0.0,0.9538140509809766,14.0,0.0
2024-08-12,AVGO,Technology,Semiconductors,769.898B,148.0800018310547,151.1300048828125,146.3699951171875,148.13278198242188,148.13278198242188,17778500,3.0,0.9644024148583412,16.0,0.1875
2024-08-13,AVGO,Technology,Semiconductors,769.898B,151.5500030517578,156.3800048828125,149.80999755859375,155.6480712890625,155.6480712890625,22053600,4.0,0.9836647301912308,20.0,0.2
2024-08-14,AVGO,Technology,Semiconductors,769.898B,158.02000427246094,160.25,154.72000122070312,157.1730499267578,157.1730499267578,20184200,5.0,0.954890468290874,14.0,0.35714285714285715
